,Start Date,End Date,Location,Urban Rural Code,FIPS State,FIPS County,FIPS Code,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other,Urban Rural Description,2020,2021,2022,Income_per_Capita
457,01/01/2020,09/23/2023,"Marion, FL",3,12,83,12083,Distribution of COVID-19 deaths (%),22982,2313,0.782,0.104,,0.005,,0.101,0.005,Medium metro,40896.0,45009.0,44521.0,43475.333333333336
458,01/01/2020,09/23/2023,"Marion, FL",3,12,83,12083,Distribution of population (%),22982,2313,0.69,0.125,0.003,0.017,0.001,0.147,0.017,Medium metro,40896.0,45009.0,44521.0,43475.333333333336
459,01/01/2020,09/23/2023,"Martin, FL",3,12,85,12085,Distribution of all-cause deaths (%),8672,838,0.908,0.038,,0.005,,0.046,0.002,Medium metro,97665.0,103621.0,110336.0,103874.0
460,01/01/2020,09/23/2023,"Martin, FL",3,12,85,12085,Distribution of COVID-19 deaths (%),8672,838,0.834,0.072,,,,0.08,,Medium metro,97665.0,103621.0,110336.0,103874.0
461,01/01/2020,09/23/2023,"Martin, FL",3,12,85,12085,Distribution of population (%),8672,838,0.778,0.05,0.002,0.015,0.001,0.141,0.013,Medium metro,97665.0,103621.0,110336.0,103874.0
462,01/01/2020,09/23/2023,"Miami-Dade, FL",1,12,86,12086,Distribution of all-cause deaths (%),92819,10942,0.179,0.175,0.0,0.009,,0.634,0.002,Large central metro,56235.0,65948.0,68481.0,63554.666666666664
463,01/01/2020,09/23/2023,"Miami-Dade, FL",1,12,86,12086,Distribution of COVID-19 deaths (%),92819,10942,0.116,0.172,,0.009,,0.701,0.002,Large central metro,56235.0,65948.0,68481.0,63554.666666666664
464,01/01/2020,09/23/2023,"Miami-Dade, FL",1,12,86,12086,Distribution of population (%),92819,10942,0.135,0.153,0.001,0.015,0.0,0.689,0.007,Large central metro,56235.0,65948.0,68481.0,63554.666666666664
465,01/01/2020,09/23/2023,"Nassau, FL",2,12,89,12089,Distribution of all-cause deaths (%),2999,147,0.924,0.045,,0.006,,0.02,0.004,Large fringe metro,66135.0,73137.0,76442.0,71904.66666666667
466,01/01/2020,09/23/2023,"Nassau, FL",2,12,89,12089,Distribution of COVID-19 deaths (%),2999,147,0.898,,,,,,,Large fringe metro,66135.0,73137.0,76442.0,71904.66666666667
467,01/01/2020,09/23/2023,"Nassau, FL",2,12,89,12089,Distribution of population (%),2999,147,0.862,0.058,0.003,0.01,0.001,0.049,0.016,Large fringe metro,66135.0,73137.0,76442.0,71904.66666666667
468,01/01/2020,09/23/2023,"Okaloosa, FL",4,12,91,12091,Distribution of all-cause deaths (%),8408,721,0.86,0.076,0.003,0.019,,0.032,0.009,Small metro,53709.0,59322.0,59966.0,57665.666666666664
469,01/01/2020,09/23/2023,"Okaloosa, FL",4,12,91,12091,Distribution of COVID-19 deaths (%),8408,721,0.824,0.087,,0.024,,0.054,,Small metro,53709.0,59322.0,59966.0,57665.666666666664
470,01/01/2020,09/23/2023,"Okaloosa, FL",4,12,91,12091,Distribution of population (%),8408,721,0.726,0.097,0.005,0.031,0.002,0.1,0.04,Small metro,53709.0,59322.0,59966.0,57665.666666666664
471,01/01/2020,09/23/2023,"Okeechobee, FL",5,12,93,12093,Distribution of all-cause deaths (%),1745,151,0.86,0.049,0.009,,,0.076,,Micropolitan,35817.0,39219.0,40502.0,38512.666666666664
472,01/01/2020,09/23/2023,"Okeechobee, FL",5,12,93,12093,Distribution of COVID-19 deaths (%),1745,151,0.748,0.099,,,,0.119,,Micropolitan,35817.0,39219.0,40502.0,38512.666666666664
473,01/01/2020,09/23/2023,"Okeechobee, FL",5,12,93,12093,Distribution of population (%),1745,151,0.621,0.084,0.009,0.009,0.001,0.265,0.011,Micropolitan,35817.0,39219.0,40502.0,38512.666666666664
474,01/01/2020,09/23/2023,"Orange, FL",1,12,95,12095,Distribution of all-cause deaths (%),43805,3794,0.557,0.19,0.001,0.03,0.001,0.217,0.004,Large central metro,48829.0,54726.0,55374.0,52976.333333333336
475,01/01/2020,09/23/2023,"Orange, FL",1,12,95,12095,Distribution of COVID-19 deaths (%),43805,3794,0.451,0.21,,0.034,,0.298,0.004,Large central metro,48829.0,54726.0,55374.0,52976.333333333336
476,01/01/2020,09/23/2023,"Orange, FL",1,12,95,12095,Distribution of population (%),43805,3794,0.391,0.202,0.002,0.055,0.001,0.329,0.019,Large central metro,48829.0,54726.0,55374.0,52976.333333333336
477,01/01/2020,09/23/2023,"Osceola, FL",2,12,97,12097,Distribution of all-cause deaths (%),12015,1322,0.474,0.115,0.001,0.025,0.001,0.381,0.003,Large fringe metro,39272.0,44013.0,44344.0,42543.0
478,01/01/2020,09/23/2023,"Osceola, FL",2,12,97,12097,Distribution of COVID-19 deaths (%),12015,1322,0.348,0.121,,0.023,,0.504,,Large fringe metro,39272.0,44013.0,44344.0,42543.0
479,01/01/2020,09/23/2023,"Osceola, FL",2,12,97,12097,Distribution of population (%),12015,1322,0.296,0.098,0.002,0.028,0.001,0.56,0.015,Large fringe metro,39272.0,44013.0,44344.0,42543.0
480,01/01/2020,09/23/2023,"Palm Beach, FL",2,12,99,12099,Distribution of all-cause deaths (%),65308,6172,0.758,0.123,0.001,0.01,0.0,0.105,0.003,Large fringe metro,92202.0,103295.0,109055.0,101517.33333333331
481,01/01/2020,09/23/2023,"Palm Beach, FL",2,12,99,12099,Distribution of COVID-19 deaths (%),65308,6172,0.618,0.191,,0.011,,0.175,0.004,Large fringe metro,92202.0,103295.0,109055.0,101517.33333333331
482,01/01/2020,09/23/2023,"Palm Beach, FL",2,12,99,12099,Distribution of population (%),65308,6172,0.533,0.188,0.002,0.029,0.0,0.234,0.014,Large fringe metro,92202.0,103295.0,109055.0,101517.33333333331
483,01/01/2020,09/23/2023,"Pasco, FL",2,12,101,12101,Distribution of all-cause deaths (%),26779,2128,0.881,0.035,0.001,0.011,,0.068,0.004,Large fringe metro,46646.0,51365.0,52601.0,50204.0
484,01/01/2020,09/23/2023,"Pasco, FL",2,12,101,12101,Distribution of COVID-19 deaths (%),26779,2128,0.822,0.043,,0.015,,0.112,0.006,Large fringe metro,46646.0,51365.0,52601.0,50204.0
485,01/01/2020,09/23/2023,"Pasco, FL",2,12,101,12101,Distribution of population (%),26779,2128,0.716,0.06,0.003,0.029,0.001,0.171,0.02,Large fringe metro,46646.0,51365.0,52601.0,50204.0
486,01/01/2020,09/23/2023,"Pinellas, FL",1,12,103,12103,Distribution of all-cause deaths (%),52545,3734,0.857,0.079,0.001,0.014,0.0,0.044,0.005,Large central metro,60721.0,66415.0,68642.0,65259.333333333336
487,01/01/2020,09/23/2023,"Pinellas, FL",1,12,103,12103,Distribution of COVID-19 deaths (%),52545,3734,0.813,0.098,,0.021,,0.061,0.004,Large central metro,60721.0,66415.0,68642.0,65259.333333333336
488,01/01/2020,09/23/2023,"Pinellas, FL",1,12,103,12103,Distribution of population (%),52545,3734,0.735,0.104,0.002,0.035,0.001,0.103,0.02,Large central metro,60721.0,66415.0,68642.0,65259.333333333336
489,01/01/2020,09/23/2023,"Polk, FL",3,12,105,12105,Distribution of all-cause deaths (%),30885,2928,0.768,0.118,0.001,0.008,,0.101,0.004,Medium metro,40807.0,43915.0,43223.0,42648.333333333336
490,01/01/2020,09/23/2023,"Polk, FL",3,12,105,12105,Distribution of COVID-19 deaths (%),30885,2928,0.692,0.149,,0.008,,0.147,0.004,Medium metro,40807.0,43915.0,43223.0,42648.333333333336
491,01/01/2020,09/23/2023,"Polk, FL",3,12,105,12105,Distribution of population (%),30885,2928,0.557,0.147,0.003,0.018,0.001,0.257,0.017,Medium metro,40807.0,43915.0,43223.0,42648.333333333336
492,01/01/2020,09/23/2023,"Putnam, FL",5,12,107,12107,Distribution of all-cause deaths (%),3715,329,0.852,0.111,,0.003,,0.028,0.003,Micropolitan,37372.0,39668.0,39440.0,38826.666666666664
493,01/01/2020,09/23/2023,"Putnam, FL",5,12,107,12107,Distribution of COVID-19 deaths (%),3715,329,0.833,0.128,,,,0.033,,Micropolitan,37372.0,39668.0,39440.0,38826.666666666664
494,01/01/2020,09/23/2023,"Putnam, FL",5,12,107,12107,Distribution of population (%),3715,329,0.71,0.158,0.004,0.006,0.001,0.104,0.016,Micropolitan,37372.0,39668.0,39440.0,38826.666666666664
495,01/01/2020,09/23/2023,"St. Johns, FL",2,12,109,12109,Distribution of all-cause deaths (%),7259,396,0.906,0.051,,0.008,,0.03,0.003,Large fringe metro,76091.0,83355.0,88388.0,82611.33333333333
496,01/01/2020,09/23/2023,"St. Johns, FL",2,12,109,12109,Distribution of COVID-19 deaths (%),7259,396,0.848,0.093,,,,0.04,,Large fringe metro,76091.0,83355.0,88388.0,82611.33333333333
497,01/01/2020,09/23/2023,"St. Johns, FL",2,12,109,12109,Distribution of population (%),7259,396,0.813,0.052,0.002,0.034,0.001,0.079,0.019,Large fringe metro,76091.0,83355.0,88388.0,82611.33333333333
498,01/01/2020,09/23/2023,"St. Lucie, FL",3,12,111,12111,Distribution of all-cause deaths (%),14701,1071,0.75,0.145,0.001,0.009,,0.091,0.004,Medium metro,45416.0,50856.0,52363.0,49545.0
499,01/01/2020,09/23/2023,"St. Lucie, FL",3,12,111,12111,Distribution of COVID-19 deaths (%),14701,1071,0.632,0.197,,0.014,,0.15,,Medium metro,45416.0,50856.0,52363.0,49545.0
500,01/01/2020,09/23/2023,"St. Lucie, FL",3,12,111,12111,Distribution of population (%),14701,1071,0.552,0.205,0.002,0.019,0.001,0.203,0.019,Medium metro,45416.0,50856.0,52363.0,49545.0
501,01/01/2020,09/23/2023,"Santa Rosa, FL",3,12,113,12113,Distribution of all-cause deaths (%),4956,358,0.921,0.038,0.003,0.01,0.002,0.019,0.007,Medium metro,50522.0,55715.0,57440.0,54559.0
502,01/01/2020,09/23/2023,"Santa Rosa, FL",3,12,113,12113,Distribution of COVID-19 deaths (%),4956,358,0.899,0.042,,,,,,Medium metro,50522.0,55715.0,57440.0,54559.0
503,01/01/2020,09/23/2023,"Santa Rosa, FL",3,12,113,12113,Distribution of population (%),4956,358,0.817,0.062,0.007,0.021,0.002,0.061,0.031,Medium metro,50522.0,55715.0,57440.0,54559.0
504,01/01/2020,09/23/2023,"Sarasota, FL",3,12,115,12115,Distribution of all-cause deaths (%),25516,2324,0.925,0.031,0.001,0.006,,0.034,0.003,Medium metro,74102.0,81954.0,84035.0,80030.33333333333
505,01/01/2020,09/23/2023,"Sarasota, FL",3,12,115,12115,Distribution of COVID-19 deaths (%),25516,2324,0.894,0.037,,0.006,,0.06,,Medium metro,74102.0,81954.0,84035.0,80030.33333333333
506,01/01/2020,09/23/2023,"Sarasota, FL",3,12,115,12115,Distribution of population (%),25516,2324,0.825,0.043,0.002,0.018,0.0,0.097,0.014,Medium metro,74102.0,81954.0,84035.0,80030.33333333333
507,01/01/2020,09/23/2023,"Seminole, FL",2,12,117,12117,Distribution of all-cause deaths (%),14313,1082,0.735,0.112,0.001,0.022,,0.126,0.004,Large fringe metro,52928.0,58147.0,59581.0,56885.333333333336
508,01/01/2020,09/23/2023,"Seminole, FL",2,12,117,12117,Distribution of COVID-19 deaths (%),14313,1082,0.666,0.155,,0.02,,0.153,,Large fringe metro,52928.0,58147.0,59581.0,56885.333333333336
509,01/01/2020,09/23/2023,"Seminole, FL",2,12,117,12117,Distribution of population (%),14313,1082,0.581,0.116,0.002,0.05,0.001,0.229,0.022,Large fringe metro,52928.0,58147.0,59581.0,56885.333333333336
510,01/01/2020,09/23/2023,"Sumter, FL",4,12,119,12119,Distribution of all-cause deaths (%),9950,738,0.936,0.03,0.001,0.006,,0.024,0.003,Small metro,59621.0,68524.0,69224.0,65789.66666666667
511,01/01/2020,09/23/2023,"Sumter, FL",4,12,119,12119,Distribution of COVID-19 deaths (%),9950,738,0.9,0.037,,0.014,,0.046,,Small metro,59621.0,68524.0,69224.0,65789.66666666667
512,01/01/2020,09/23/2023,"Sumter, FL",4,12,119,12119,Distribution of population (%),9950,738,0.852,0.066,0.003,0.01,0.001,0.06,0.009,Small metro,59621.0,68524.0,69224.0,65789.66666666667
513,01/01/2020,09/23/2023,"Volusia, FL",3,12,127,12127,Distribution of all-cause deaths (%),31432,2253,0.851,0.074,0.001,0.006,,0.064,0.004,Medium metro,47861.0,52364.0,53559.0,51261.333333333336
514,01/01/2020,09/23/2023,"Volusia, FL",3,12,127,12127,Distribution of COVID-19 deaths (%),31432,2253,0.792,0.102,,0.01,,0.093,,Medium metro,47861.0,52364.0,53559.0,51261.333333333336
515,01/01/2020,09/23/2023,"Volusia, FL",3,12,127,12127,Distribution of population (%),31432,2253,0.701,0.105,0.003,0.019,0.0,0.155,0.018,Medium metro,47861.0,52364.0,53559.0,51261.333333333336
516,01/01/2020,09/23/2023,"Walton, FL",4,12,131,12131,Distribution of all-cause deaths (%),2802,224,0.92,0.04,,0.007,,0.026,0.005,Small metro,73458.0,84975.0,88228.0,82220.33333333333
517,01/01/2020,09/23/2023,"Walton, FL",4,12,131,12131,Distribution of COVID-19 deaths (%),2802,224,0.871,0.045,,,,0.067,,Small metro,73458.0,84975.0,88228.0,82220.33333333333
518,01/01/2020,09/23/2023,"Walton, FL",4,12,131,12131,Distribution of population (%),2802,224,0.841,0.051,0.006,0.012,0.001,0.064,0.024,Small metro,73458.0,84975.0,88228.0,82220.33333333333
519,01/01/2020,09/23/2023,"Baldwin, GA",5,13,9,13009,Distribution of all-cause deaths (%),1848,225,0.631,0.354,,,,0.01,,Micropolitan,37644.0,42144.0,42270.0,40686.0
520,01/01/2020,09/23/2023,"Baldwin, GA",5,13,9,13009,Distribution of COVID-19 deaths (%),1848,225,0.591,0.391,,,,,,Micropolitan,37644.0,42144.0,42270.0,40686.0
521,01/01/2020,09/23/2023,"Baldwin, GA",5,13,9,13009,Distribution of population (%),1848,225,0.523,0.421,0.002,0.016,0.001,0.025,0.013,Micropolitan,37644.0,42144.0,42270.0,40686.0
522,01/01/2020,09/23/2023,"Bartow, GA",2,13,15,13015,Distribution of all-cause deaths (%),4141,378,0.879,0.093,,0.004,,0.022,,Large fringe metro,43677.0,47617.0,48565.0,46619.666666666664
523,01/01/2020,09/23/2023,"Bartow, GA",2,13,15,13015,Distribution of COVID-19 deaths (%),4141,378,0.87,0.098,,,,,,Large fringe metro,43677.0,47617.0,48565.0,46619.666666666664
524,01/01/2020,09/23/2023,"Bartow, GA",2,13,15,13015,Distribution of population (%),4141,378,0.763,0.109,0.003,0.01,0.001,0.094,0.019,Large fringe metro,43677.0,47617.0,48565.0,46619.666666666664
525,01/01/2020,09/23/2023,"Bibb, GA",4,13,21,13021,Distribution of all-cause deaths (%),11905,1239,0.536,0.443,,0.006,,0.011,0.003,Small metro,43114.0,47550.0,46196.0,45620.0
526,01/01/2020,09/23/2023,"Bibb, GA",4,13,21,13021,Distribution of COVID-19 deaths (%),11905,1239,0.531,0.448,,,,0.016,,Small metro,43114.0,47550.0,46196.0,45620.0
527,01/01/2020,09/23/2023,"Bibb, GA",4,13,21,13021,Distribution of population (%),11905,1239,0.367,0.558,0.002,0.021,0.001,0.037,0.015,Small metro,43114.0,47550.0,46196.0,45620.0
528,01/01/2020,09/23/2023,"Bulloch, GA",5,13,31,13031,Distribution of all-cause deaths (%),2930,303,0.713,0.268,,,,0.014,,Micropolitan,35955.0,39375.0,38397.0,37909.0
529,01/01/2020,09/23/2023,"Bulloch, GA",5,13,31,13031,Distribution of COVID-19 deaths (%),2930,303,0.607,0.373,,,,,,Micropolitan,35955.0,39375.0,38397.0,37909.0
530,01/01/2020,09/23/2023,"Bulloch, GA",5,13,31,13031,Distribution of population (%),2930,303,0.63,0.291,0.002,0.013,0.001,0.045,0.018,Micropolitan,35955.0,39375.0,38397.0,37909.0
531,01/01/2020,09/23/2023,"Carroll, GA",2,13,45,13045,Distribution of all-cause deaths (%),5639,688,0.838,0.142,,0.004,,0.015,,Large fringe metro,44781.0,49127.0,50475.0,48127.666666666664
532,01/01/2020,09/23/2023,"Carroll, GA",2,13,45,13045,Distribution of COVID-19 deaths (%),5639,688,0.828,0.137,,,,0.031,,Large fringe metro,44781.0,49127.0,50475.0,48127.666666666664
533,01/01/2020,09/23/2023,"Carroll, GA",2,13,45,13045,Distribution of population (%),5639,688,0.699,0.193,0.003,0.01,0.0,0.073,0.021,Large fringe metro,44781.0,49127.0,50475.0,48127.666666666664
534,01/01/2020,09/23/2023,"Catoosa, GA",3,13,47,13047,Distribution of all-cause deaths (%),2330,129,0.965,0.023,,0.006,,0.005,,Medium metro,38879.0,42150.0,42316.0,41115.0
535,01/01/2020,09/23/2023,"Catoosa, GA",3,13,47,13047,Distribution of COVID-19 deaths (%),2330,129,0.946,,,,,,,Medium metro,38879.0,42150.0,42316.0,41115.0
536,01/01/2020,09/23/2023,"Catoosa, GA",3,13,47,13047,Distribution of population (%),2330,129,0.902,0.028,0.003,0.015,0.001,0.032,0.018,Medium metro,38879.0,42150.0,42316.0,41115.0
537,01/01/2020,09/23/2023,"Chatham, GA",3,13,51,13051,Distribution of all-cause deaths (%),15820,1579,0.619,0.344,0.001,0.01,0.001,0.024,0.002,Medium metro,51366.0,56848.0,56682.0,54965.333333333336
538,01/01/2020,09/23/2023,"Chatham, GA",3,13,51,13051,Distribution of COVID-19 deaths (%),15820,1579,0.594,0.367,,0.01,,0.027,,Medium metro,51366.0,56848.0,56682.0,54965.333333333336
539,01/01/2020,09/23/2023,"Chatham, GA",3,13,51,13051,Distribution of population (%),15820,1579,0.475,0.405,0.002,0.03,0.001,0.067,0.02,Medium metro,51366.0,56848.0,56682.0,54965.333333333336
540,01/01/2020,09/23/2023,"Cherokee, GA",2,13,57,13057,Distribution of all-cause deaths (%),6369,497,0.912,0.043,,0.009,,0.035,0.002,Large fringe metro,57355.0,63168.0,66230.0,62251.0
541,01/01/2020,09/23/2023,"Cherokee, GA",2,13,57,13057,Distribution of COVID-19 deaths (%),6369,497,0.924,0.034,,,,0.038,,Large fringe metro,57355.0,63168.0,66230.0,62251.0
542,01/01/2020,09/23/2023,"Cherokee, GA",2,13,57,13057,Distribution of population (%),6369,497,0.774,0.072,0.002,0.021,0.001,0.111,0.019,Large fringe metro,57355.0,63168.0,66230.0,62251.0
543,01/01/2020,09/23/2023,"Clarke, GA",4,13,59,13059,Distribution of all-cause deaths (%),7110,825,0.72,0.247,,0.007,,0.023,0.001,Small metro,37715.0,40910.0,40970.0,39865.0
544,01/01/2020,09/23/2023,"Clarke, GA",4,13,59,13059,Distribution of COVID-19 deaths (%),7110,825,0.71,0.24,,,,0.042,,Small metro,37715.0,40910.0,40970.0,39865.0
545,01/01/2020,09/23/2023,"Clarke, GA",4,13,59,13059,Distribution of population (%),7110,825,0.554,0.277,0.002,0.039,0.0,0.109,0.019,Small metro,37715.0,40910.0,40970.0,39865.0
546,01/01/2020,09/23/2023,"Clayton, GA",2,13,63,13063,Distribution of all-cause deaths (%),5690,428,0.267,0.651,,0.033,,0.045,0.002,Large fringe metro,31757.0,34575.0,32831.0,33054.333333333336
547,01/01/2020,09/23/2023,"Clayton, GA",2,13,63,13063,Distribution of COVID-19 deaths (%),5690,428,0.227,0.673,,0.042,,0.058,,Large fringe metro,31757.0,34575.0,32831.0,33054.333333333336
548,01/01/2020,09/23/2023,"Clayton, GA",2,13,63,13063,Distribution of population (%),5690,428,0.086,0.709,0.002,0.049,0.001,0.133,0.02,Large fringe metro,31757.0,34575.0,32831.0,33054.333333333336
549,01/01/2020,09/23/2023,"Cobb, GA",2,13,67,13067,Distribution of all-cause deaths (%),23243,2081,0.706,0.224,0.001,0.02,,0.045,0.003,Large fringe metro,62551.0,68273.0,69932.0,66918.66666666667
550,01/01/2020,09/23/2023,"Cobb, GA",2,13,67,13067,Distribution of COVID-19 deaths (%),23243,2081,0.634,0.251,,0.022,,0.087,,Large fringe metro,62551.0,68273.0,69932.0,66918.66666666667
551,01/01/2020,09/23/2023,"Cobb, GA",2,13,67,13067,Distribution of population (%),23243,2081,0.507,0.278,0.002,0.056,0.0,0.134,0.023,Large fringe metro,62551.0,68273.0,69932.0,66918.66666666667
552,01/01/2020,09/23/2023,"Coffee, GA",5,13,69,13069,Distribution of all-cause deaths (%),1755,279,0.752,0.219,,,,0.027,,Micropolitan,35602.0,40811.0,38972.0,38461.666666666664
553,01/01/2020,09/23/2023,"Coffee, GA",5,13,69,13069,Distribution of COVID-19 deaths (%),1755,279,0.706,0.251,,,,0.043,,Micropolitan,35602.0,40811.0,38972.0,38461.666666666664
554,01/01/2020,09/23/2023,"Coffee, GA",5,13,69,13069,Distribution of population (%),1755,279,0.57,0.285,0.003,0.008,0.0,0.121,0.013,Micropolitan,35602.0,40811.0,38972.0,38461.666666666664
555,01/01/2020,09/23/2023,"Colquitt, GA",5,13,71,13071,Distribution of all-cause deaths (%),2151,249,0.74,0.219,,,,0.04,,Micropolitan,37726.0,41085.0,41164.0,39991.666666666664
556,01/01/2020,09/23/2023,"Colquitt, GA",5,13,71,13071,Distribution of COVID-19 deaths (%),2151,249,0.671,0.225,,,,0.1,,Micropolitan,37726.0,41085.0,41164.0,39991.666666666664
557,01/01/2020,09/23/2023,"Colquitt, GA",5,13,71,13071,Distribution of population (%),2151,249,0.546,0.234,0.002,0.008,0.0,0.199,0.01,Micropolitan,37726.0,41085.0,41164.0,39991.666666666664
558,01/01/2020,09/23/2023,"Coweta, GA",2,13,77,13077,Distribution of all-cause deaths (%),5107,504,0.748,0.218,,0.006,,0.027,,Large fringe metro,53350.0,57721.0,59967.0,57012.666666666664
559,01/01/2020,09/23/2023,"Coweta, GA",2,13,77,13077,Distribution of COVID-19 deaths (%),5107,504,0.688,0.248,,,,0.058,,Large fringe metro,53350.0,57721.0,59967.0,57012.666666666664
560,01/01/2020,09/23/2023,"Coweta, GA",2,13,77,13077,Distribution of population (%),5107,504,0.702,0.182,0.002,0.022,0.001,0.073,0.018,Large fringe metro,53350.0,57721.0,59967.0,57012.666666666664
561,01/01/2020,09/23/2023,"Crisp, GA",5,13,81,13081,Distribution of all-cause deaths (%),1261,160,0.598,0.388,,,,0.013,,Micropolitan,41968.0,45832.0,44582.0,44127.333333333336
562,01/01/2020,09/23/2023,"Crisp, GA",5,13,81,13081,Distribution of COVID-19 deaths (%),1261,160,0.5,0.462,,,,,,Micropolitan,41968.0,45832.0,44582.0,44127.333333333336
563,01/01/2020,09/23/2023,"Crisp, GA",5,13,81,13081,Distribution of population (%),1261,160,0.493,0.444,0.002,0.01,0.0,0.039,0.013,Micropolitan,41968.0,45832.0,44582.0,44127.333333333336
564,01/01/2020,09/23/2023,"DeKalb, GA",2,13,89,13089,Distribution of all-cause deaths (%),20954,1353,0.38,0.553,0.001,0.029,,0.033,0.004,Large fringe metro,55996.0,62588.0,62632.0,60405.333333333336
565,01/01/2020,09/23/2023,"DeKalb, GA",2,13,89,13089,Distribution of COVID-19 deaths (%),20954,1353,0.324,0.592,,0.034,,0.044,,Large fringe metro,55996.0,62588.0,62632.0,60405.333333333336
566,01/01/2020,09/23/2023,"DeKalb, GA",2,13,89,13089,Distribution of population (%),20954,1353,0.294,0.535,0.001,0.065,0.001,0.084,0.019,Large fringe metro,55996.0,62588.0,62632.0,60405.333333333336
567,01/01/2020,09/23/2023,"Dodge, GA",6,13,91,13091,Distribution of all-cause deaths (%),905,145,0.73,0.263,,,,,,Noncore,34673.0,37790.0,36210.0,36224.333333333336
568,01/01/2020,09/23/2023,"Dodge, GA",6,13,91,13091,Distribution of COVID-19 deaths (%),905,145,0.662,0.338,,,,,,Noncore,34673.0,37790.0,36210.0,36224.333333333336
569,01/01/2020,09/23/2023,"Dodge, GA",6,13,91,13091,Distribution of population (%),905,145,0.643,0.295,0.002,0.005,0.0,0.039,0.015,Noncore,34673.0,37790.0,36210.0,36224.333333333336
570,01/01/2020,09/23/2023,"Dougherty, GA",4,13,95,13095,Distribution of all-cause deaths (%),5727,807,0.452,0.533,,0.004,,0.009,,Small metro,40963.0,46317.0,44681.0,43987.0
571,01/01/2020,09/23/2023,"Dougherty, GA",4,13,95,13095,Distribution of COVID-19 deaths (%),5727,807,0.4,0.585,,,,,,Small metro,40963.0,46317.0,44681.0,43987.0
572,01/01/2020,09/23/2023,"Dougherty, GA",4,13,95,13095,Distribution of population (%),5727,807,0.238,0.708,0.002,0.008,0.001,0.031,0.012,Small metro,40963.0,46317.0,44681.0,43987.0
573,01/01/2020,09/23/2023,"Douglas, GA",2,13,97,13097,Distribution of all-cause deaths (%),3224,249,0.596,0.358,,0.011,,0.03,0.004,Large fringe metro,40654.0,43855.0,43652.0,42720.333333333336
574,01/01/2020,09/23/2023,"Douglas, GA",2,13,97,13097,Distribution of COVID-19 deaths (%),3224,249,0.518,0.414,,,,0.052,,Large fringe metro,40654.0,43855.0,43652.0,42720.333333333336
575,01/01/2020,09/23/2023,"Douglas, GA",2,13,97,13097,Distribution of population (%),3224,249,0.358,0.494,0.003,0.016,0.001,0.106,0.023,Large fringe metro,40654.0,43855.0,43652.0,42720.333333333336
576,01/01/2020,09/23/2023,"Emanuel, GA",6,13,107,13107,Distribution of all-cause deaths (%),985,118,0.69,0.293,,,,0.01,,Noncore,37954.0,39913.0,39039.0,38968.666666666664
577,01/01/2020,09/23/2023,"Emanuel, GA",6,13,107,13107,Distribution of COVID-19 deaths (%),985,118,0.551,0.432,,,,,,Noncore,37954.0,39913.0,39039.0,38968.666666666664
578,01/01/2020,09/23/2023,"Emanuel, GA",6,13,107,13107,Distribution of population (%),985,118,0.588,0.342,0.003,0.008,0.0,0.047,0.011,Noncore,37954.0,39913.0,39039.0,38968.666666666664
579,01/01/2020,09/23/2023,"Fannin, GA",6,13,111,13111,Distribution of all-cause deaths (%),1272,112,0.991,,,,,,,Noncore,42947.0,48239.0,49594.0,46926.666666666664
580,01/01/2020,09/23/2023,"Fannin, GA",6,13,111,13111,Distribution of COVID-19 deaths (%),1272,112,0.991,,,,,,,Noncore,42947.0,48239.0,49594.0,46926.666666666664
581,01/01/2020,09/23/2023,"Fannin, GA",6,13,111,13111,Distribution of population (%),1272,112,0.944,0.007,0.004,0.006,0.0,0.027,0.013,Noncore,42947.0,48239.0,49594.0,46926.666666666664
582,01/01/2020,09/23/2023,"Fayette, GA",2,13,113,13113,Distribution of all-cause deaths (%),4767,568,0.603,0.351,,0.017,,0.025,0.004,Large fringe metro,68059.0,72745.0,75294.0,72032.66666666667
583,01/01/2020,09/23/2023,"Fayette, GA",2,13,113,13113,Distribution of COVID-19 deaths (%),4767,568,0.481,0.46,,0.023,,0.03,,Large fringe metro,68059.0,72745.0,75294.0,72032.66666666667
584,01/01/2020,09/23/2023,"Fayette, GA",2,13,113,13113,Distribution of population (%),4767,568,0.596,0.253,0.002,0.05,0.001,0.077,0.021,Large fringe metro,68059.0,72745.0,75294.0,72032.66666666667
585,01/01/2020,09/23/2023,"Floyd, GA",4,13,115,13115,Distribution of all-cause deaths (%),7495,956,0.862,0.116,,0.004,,0.017,,Small metro,40944.0,44304.0,44126.0,43124.666666666664
586,01/01/2020,09/23/2023,"Floyd, GA",4,13,115,13115,Distribution of COVID-19 deaths (%),7495,956,0.865,0.104,,,,0.026,,Small metro,40944.0,44304.0,44126.0,43124.666666666664
587,01/01/2020,09/23/2023,"Floyd, GA",4,13,115,13115,Distribution of population (%),7495,956,0.702,0.145,0.002,0.014,0.001,0.118,0.018,Small metro,40944.0,44304.0,44126.0,43124.666666666664
588,01/01/2020,09/23/2023,"Forsyth, GA",2,13,117,13117,Distribution of all-cause deaths (%),7024,586,0.882,0.042,,0.04,,0.035,,Large fringe metro,69446.0,74888.0,79382.0,74572.0
